Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,latent
KEGG_2021_Human,Regulation Of Myotube Differentiation (GO:0010830),1/23,0.0227609834903901,0.0455219669807802,0,0,47.74641148325359,180.6107068727385,HDAC9,Latent_11
KEGG_2021_Human,Lymphocyte Activation Involved In Immune Response (GO:0002285),1/23,0.0227609834903901,0.0455219669807802,0,0,47.74641148325359,180.6107068727385,CD74,Latent_11
KEGG_2021_Human,Regulation Of Toll-Like Receptor 4 Signaling Pathway (GO:0034143),1/23,0.0227609834903901,0.0455219669807802,0,0,47.74641148325359,180.6107068727385,LYN,Latent_11
KEGG_2021_Human,Regulation Of T Cell Migration (GO:2000404),1/23,0.0227609834903901,0.0455219669807802,0,0,47.74641148325359,180.6107068727385,APP,Latent_11
KEGG_2021_Human,Regulation Of Cell Junction Assembly (GO:1901888),1/23,0.0227609834903901,0.0455219669807802,0,0,47.74641148325359,180.6107068727385,MEF2C,Latent_11
GO_Biological_Process_2023,Regulation Of Gene Expression (GO:0010468),4/1127,0.0235605130632642,0.0459761976148617,0,0,4.1979073909171865,15.734525720849463,LYN;APP;CD74;MEF2C,Latent_11
GO_Biological_Process_2023,Regulation Of Inflammatory Response (GO:0050727),2/240,0.0236355940138809,0.0459761976148617,0,0,9.216619981325865,34.51625549136612,APP;PIK3AP1,Latent_11
GO_Biological_Process_2023,Negative Regulation Of Ossification (GO:0030279),1/24,0.0237393438664972,0.0459761976148617,0,0,45.66819221967963,170.827422984315,MEF2C,Latent_11
GO_Biological_Process_2023,Regulation Of Muscle Cell Differentiation (GO:0051147),1/24,0.0237393438664972,0.0459761976148617,0,0,45.66819221967963,170.827422984315,HDAC9,Latent_11
GO_Biological_Process_2023,Positive Regulation Of Transforming Growth Factor Beta Receptor Signaling Pathway (GO:0030511),1/24,0.0237393438664972,0.0459761976148617,0,0,45.66819221967963,170.827422984315,ZEB2,Latent_11
GO_Biological_Process_2023,mRNA Polyadenylation (GO:0006378),1/24,0.0237393438664972,0.0459761976148617,0,0,45.66819221967963,170.827422984315,APP,Latent_11
GO_Biological_Process_2023,Cell Morphogenesis Involved In Differentiation (GO:0000904),1/24,0.0237393438664972,0.0459761976148617,0,0,45.66819221967963,170.827422984315,MEF2C,Latent_11
GO_Biological_Process_2023,Regulation Of Ruffle Assembly (GO:1900027),1/24,0.0237393438664972,0.0459761976148617,0,0,45.66819221967963,170.827422984315,ARHGAP24,Latent_11
GO_Biological_Process_2023,Regulation Of AMPA Receptor Activity (GO:2000311),1/24,0.0237393438664972,0.0459761976148617,0,0,45.66819221967963,170.827422984315,MEF2C,Latent_11
GO_Biological_Process_2023,Positive Regulation Of Cellular Response To Transforming Growth Factor Beta Stimulus (GO:1903846),1/24,0.0237393438664972,0.0459761976148617,0,0,45.66819221967963,170.827422984315,ZEB2,Latent_11
KEGG_2021_Human,Regulation Of Gene Expression (GO:0010468),4/1127,0.0235605130632642,0.0459761976148617,0,0,4.1979073909171865,15.734525720849463,LYN;APP;CD74;MEF2C,Latent_11
KEGG_2021_Human,Regulation Of Inflammatory Response (GO:0050727),2/240,0.0236355940138809,0.0459761976148617,0,0,9.216619981325865,34.51625549136612,APP;PIK3AP1,Latent_11
KEGG_2021_Human,Negative Regulation Of Ossification (GO:0030279),1/24,0.0237393438664972,0.0459761976148617,0,0,45.66819221967963,170.827422984315,MEF2C,Latent_11
KEGG_2021_Human,Regulation Of Muscle Cell Differentiation (GO:0051147),1/24,0.0237393438664972,0.0459761976148617,0,0,45.66819221967963,170.827422984315,HDAC9,Latent_11
KEGG_2021_Human,Positive Regulation Of Transforming Growth Factor Beta Receptor Signaling Pathway (GO:0030511),1/24,0.0237393438664972,0.0459761976148617,0,0,45.66819221967963,170.827422984315,ZEB2,Latent_11
KEGG_2021_Human,mRNA Polyadenylation (GO:0006378),1/24,0.0237393438664972,0.0459761976148617,0,0,45.66819221967963,170.827422984315,APP,Latent_11
KEGG_2021_Human,Cell Morphogenesis Involved In Differentiation (GO:0000904),1/24,0.0237393438664972,0.0459761976148617,0,0,45.66819221967963,170.827422984315,MEF2C,Latent_11
KEGG_2021_Human,Regulation Of Ruffle Assembly (GO:1900027),1/24,0.0237393438664972,0.0459761976148617,0,0,45.66819221967963,170.827422984315,ARHGAP24,Latent_11
KEGG_2021_Human,Regulation Of AMPA Receptor Activity (GO:2000311),1/24,0.0237393438664972,0.0459761976148617,0,0,45.66819221967963,170.827422984315,MEF2C,Latent_11
KEGG_2021_Human,Positive Regulation Of Cellular Response To Transforming Growth Factor Beta Stimulus (GO:1903846),1/24,0.0237393438664972,0.0459761976148617,0,0,45.66819221967963,170.827422984315,ZEB2,Latent_11
GO_Biological_Process_2023,Negative Regulation Of Intrinsic Apoptotic Signaling Pathway In Response To DNA Damage (GO:1902230),1/25,0.0247167737784927,0.0464008145780292,0,0,43.76315789473684,161.93563879493826,CD74,Latent_11
GO_Biological_Process_2023,RNA Polyadenylation (GO:0043631),1/25,0.0247167737784927,0.0464008145780292,0,0,43.76315789473684,161.93563879493826,APP,Latent_11
